role_code,permission_code,data_scope
ADMIN,identity.user.read,SYSTEM
ADMIN,identity.user.create,SYSTEM
ADMIN,identity.user.update,SYSTEM
ADMIN,identity.user.lock,SYSTEM
ADMIN,identity.user.unlock,SYSTEM
ADMIN,identity.role.read,SYSTEM
ADMIN,identity.role.create,SYSTEM
ADMIN,identity.role.update,SYSTEM
ADMIN,identity.role.delete,SYSTEM
ADMIN,identity.permission.read,SYSTEM
ADMIN,identity.permission.assign,SYSTEM
ADMIN,identity.session.read,SYSTEM
ADMIN,identity.session.revoke,SYSTEM
ADMIN,organization.profile.read,SYSTEM
ADMIN,organization.profile.update,SYSTEM
ADMIN,organization.branch.read,SYSTEM
ADMIN,organization.branch.create,SYSTEM
ADMIN,organization.branch.update,SYSTEM
ADMIN,organization.branch.lock,SYSTEM
ADMIN,organization.employee.read,SYSTEM
ADMIN,organization.employee.create,SYSTEM
ADMIN,organization.employee.update,SYSTEM
ADMIN,organization.employee.assign-branch,SYSTEM
ADMIN,customer.profile.read,SYSTEM
ADMIN,customer.profile.create,SYSTEM
ADMIN,customer.profile.update,SYSTEM
ADMIN,customer.group.read,SYSTEM
ADMIN,customer.group.manage,SYSTEM
ADMIN,customer.history.read,SYSTEM
ADMIN,customer.restriction.read,SYSTEM
ADMIN,customer.restriction.manage,SYSTEM
ADMIN,inventory.catalog.read,SYSTEM
ADMIN,inventory.catalog.manage,SYSTEM
ADMIN,inventory.brand.read,SYSTEM
ADMIN,inventory.brand.manage,SYSTEM
ADMIN,inventory.model.read,SYSTEM
ADMIN,inventory.model.manage,SYSTEM
ADMIN,inventory.equipment.read,SYSTEM
ADMIN,inventory.equipment.create,SYSTEM
ADMIN,inventory.equipment.update,SYSTEM
ADMIN,inventory.equipment.change-status,SYSTEM
ADMIN,inventory.equipment.image.manage,SYSTEM
ADMIN,inventory.equipment.accessory.manage,SYSTEM
ADMIN,inventory.qr.generate,SYSTEM
ADMIN,inventory.qr.print,SYSTEM
ADMIN,inventory.warehouse.read,SYSTEM
ADMIN,inventory.warehouse.manage,SYSTEM
ADMIN,inventory.stock.in,SYSTEM
ADMIN,inventory.stock.out,SYSTEM
